SkierID,gender,Select_All_That_Apply
1262,m,"beavm, sbasn, powmo, sbird, deerv"
1263,f,"powmo, solit"
1264,m,"solit, brton"
1265,f,"sbasn, solit, sbird, parkc, deerv"
1266,m,"solit, sbird, altax, parkc, deerv, canyo"
1267,m,"powmo, solit, sbird, altax"
1268,m,"sbasn, powmo"
1269,f,"sbasn, sbird, altax"
1270,f,"powmo, solit, altax"
1271,m,"powmo, brton, sbird, altax"
1272,f,"powmo, solit, sbird, altax"
1273,m,"brton, sbird, parkc"
1274,m,"sbasn, powmo, solit, sbird, altax"
1275,f,"brton, sbird, deerv"
1276,f,"beavm, sbasn, solit, altax"
1277,f,"sbird, altax"
1278,f,"powmo, altax"
1279,m,"parkc, deerv, canyo"
1280,f,"sbasn, sbird, altax"
1281,f,"solit, brton, altax, parkc, deerv"
1282,f,"solit, sbird"
1283,f,"sbasn, powmo, solit, sbird, altax"
1284,m,"beavm, sbasn, powmo, sbird"
1285,f,"sbird, altax"
1286,m,"sbasn, powmo, sbird"
1287,m,"solit, sbird, altax, parkc, canyo"
1288,m,"sbird, canyo"
1289,m,"sbird, altax"
1290,f,"sbasn, deerv"
1291,f,"beavm, powmo, solit, brton, sbird, altax, parkc, deerv, canyo"
1292,f,"sbasn, powmo"
1293,m,"sbasn, powmo, brton, parkc"
1294,m,"brton, sbird"
1295,m,"powmo, solit, altax"
1296,f,powmo
1297,f,"solit, brton, sbird, altax, parkc, deerv"
1298,f,"sbasn, powmo"
1299,f,"solit, sbird, altax"
1300,f,"parkc, deerv, canyo"
1301,f,"powmo, sbird"
1302,m,"sbird, altax, parkc"
1303,m,"altax, parkc, deerv, canyo"
1304,m,"sbasn, powmo, solit, canyo"
1305,m,"solit, brton, sbird, parkc"
1306,f,"sbasn, solit, sbird"
1307,f,"sbasn, powmo"
1308,m,"sbasn, brton, altax, deerv"
1309,f,"sbasn, solit, sbird"
1310,m,"beavm, powmo, altax, deerv"
1311,m,"sbasn, powmo, solit, sbird, altax, parkc"
1312,m,"solit, brton, sbird, altax"
1313,f,"powmo, sbird, altax"
1314,f,"solit, sbird, altax"
1315,f,"sbird, altax"
1316,m,"sbird, altax, parkc"
1317,m,"sbasn, brton, altax"
1318,m,"sbird, altax"
1319,m,"powmo, solit, sbird, altax"
1320,m,"beavm, powmo"
1321,m,"beavm, sbasn, powmo, solit, brton, sbird, altax, parkc, deerv, canyo"
1322,f,powmo
1323,f,"powmo, brton"
1324,f,brton
1325,m,"powmo, canyo"
1326,f,solit
1327,m,"powmo, sbird, altax, deerv"
1328,m,"beavm, sbasn, powmo, solit, brton, sbird, altax, parkc, deerv"
1329,m,"sbasn, parkc, deerv"
1330,m,"brton, sbird, altax, canyo"
1331,f,"solit, sbird, altax"
1332,m,"sbasn, powmo, solit, sbird, altax"
1333,m,"solit, brton"
1334,m,"powmo, solit, sbird"
1335,m,"sbasn, powmo"
1336,m,"parkc, deerv, canyo"
1337,f,"sbasn, altax, canyo"
1338,f,"sbird, altax"
1339,m,"solit, canyo"
1340,f,"sbasn, solit"
1341,f,"beavm, sbasn, powmo, sbird"
1342,m,"solit, brton, parkc, deerv"
1343,f,"solit, sbird, altax, parkc, deerv"
1344,f,"parkc, deerv, canyo"
1345,m,solit
1346,f,"beavm, powmo, solit, brton, altax, parkc, deerv, canyo"
1347,m,"sbasn, powmo, sbird, altax"
1348,m,"beavm, sbasn, powmo, altax"
1349,m,"solit, brton, sbird"
1350,m,"sbasn, powmo, canyo"
1351,f,"sbasn, deerv, canyo"
1353,f,"deerv, canyo"
1354,f,"solit, sbird, altax"
1355,f,"powmo, solit, sbird, altax"
1356,f,"sbird, altax"
1357,m,powmo
1358,f,"brton, sbird, parkc"
1359,m,"sbird, altax"
1360,m,"sbasn, powmo, solit, sbird, altax"
1361,m,"beavm, powmo, altax"
1362,f,"brton, altax, parkc, deerv"
1363,m,"sbasn, powmo, deerv"
1364,f,"sbasn, parkc, deerv, canyo"
1365,m,"sbasn, solit, sbird, altax, canyo"
1366,m,"powmo, brton, sbird, altax"
1367,m,"powmo, solit, sbird, altax"
1368,f,"sbasn, powmo, brton, sbird, parkc"
1369,m,"powmo, parkc"
1370,f,"sbasn, powmo, altax"
1371,f,"sbird, altax, deerv"
1372,f,"powmo, sbird, altax"
1373,m,"sbasn, sbird, altax"
1374,f,"sbird, parkc, deerv, canyo"
1375,m,"beavm, sbasn, powmo, solit, brton, sbird, parkc, deerv, canyo"
1376,m,"sbasn, powmo, solit, sbird, altax"
1377,m,"sbird, altax"
1378,f,"parkc, deerv"
1379,m,"sbird, altax"
1380,f,"sbasn, solit, brton, altax"
1381,m,solit
1382,m,"beavm, solit"
1383,m,"powmo, solit, sbird, altax"
1384,f,solit
1385,m,"sbasn, powmo, solit, sbird, altax"
1386,f,"sbird, altax"
1387,f,"parkc, deerv, canyo"
1388,f,"solit, sbird, altax"
1389,m,"solit, brton"
1390,m,"parkc, deerv, canyo"
1391,f,"parkc, deerv, canyo"
1392,m,"sbasn, powmo, sbird, altax"
1393,f,"sbasn, solit, brton, altax, deerv"
1394,m,"powmo, sbird, altax"
1395,f,"sbasn, powmo, solit, sbird, altax, parkc"
1396,f,"sbasn, parkc, deerv, canyo"
1397,m,"sbasn, powmo, sbird, altax"
1398,m,"sbird, parkc, deerv, canyo"
1399,f,"brton, altax"
1400,m,"sbasn, brton, sbird, deerv"
1401,f,"sbasn, powmo"
1402,m,"sbasn, parkc, deerv, canyo"
1403,m,"beavm, sbasn, powmo"
1404,m,"sbasn, sbird, altax"
1405,m,"sbasn, powmo"
1406,m,"beavm, sbasn, powmo, deerv"
1407,f,"sbasn, sbird"
1408,m,powmo
1409,m,beavm
1410,m,"brton, sbird, altax, canyo"
1411,f,"parkc, deerv, canyo"
1412,m,"parkc, deerv, canyo"
1413,f,"powmo, solit, sbird, altax, parkc"
1414,m,"parkc, canyo"
1415,f,"sbasn, powmo, deerv"
1416,m,"sbird, altax"
1417,f,"sbird, parkc, canyo"
1418,m,altax
1419,m,"sbasn, powmo, sbird, deerv"
1420,m,"sbasn, solit, sbird, altax"
1421,m,"beavm, powmo, altax, canyo"
1422,m,"beavm, powmo, solit, brton, sbird, altax"
1423,f,powmo
1424,m,"powmo, solit, sbird, altax, canyo"
1425,m,"brton, sbird, altax, parkc"
1426,m,"parkc, deerv, canyo"
1427,f,"sbird, altax"
1428,f,powmo
1429,m,"solit, brton, parkc"
1430,f,"parkc, deerv, canyo"
1431,f,"sbasn, powmo, sbird, parkc, canyo"
1432,m,"sbasn, powmo, parkc"
1433,m,"parkc, deerv, canyo"
1434,f,"sbasn, parkc, deerv, canyo"
1435,f,"sbird, altax"
1436,m,"sbasn, powmo, sbird, altax"
1437,m,"sbasn, sbird, altax"
1438,m,"sbasn, powmo, brton, altax, deerv"
1439,m,"parkc, deerv, canyo"
1440,f,"powmo, solit, sbird, altax"
1441,m,"sbasn, powmo, solit, sbird, altax"
1442,f,"powmo, brton, sbird, altax, deerv, canyo"
1443,m,"solit, brton, sbird, altax"
1444,m,"sbasn, powmo"
1445,f,"parkc, deerv, canyo"
1446,f,brton
1447,m,"sbasn, powmo"
1448,m,"powmo, brton"
1449,f,"parkc, deerv, canyo"
1450,f,"powmo, parkc"
1451,m,"parkc, deerv, canyo"
1452,m,"powmo, solit, sbird, altax"
1453,m,"beavm, sbasn, powmo, solit"
1454,m,"sbasn, sbird, altax"
1455,f,"solit, brton, altax"
1456,m,"sbasn, powmo, canyo"
1457,m,"sbird, altax"
1458,m,"sbasn, powmo, solit, deerv"
