id,host_id,host_is_superhost,calculated_host_listings_count,host_has_profile_pic,host_identity_verified,host_listings_count,neighbourhood_cleansed,availability_365,minimum_nights,room_type,accommodates,bedrooms,beds,price,number_of_reviews,reviews_per_month,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,avg_air_quality,days_as_host,bathrooms,short_term
29968952.0,53382229,0,5,1,0,6,District 24,337,1,Entire home/apt,4,2.0,2.0,133.0,83,1.33,4.84,4.84,4.84,4.96,5.0,4.92,4.79,1.7320776255707762,3138,1.0,1
29983375.0,206039961,0,1,1,1,1,District 6,101,2,Entire home/apt,2,1.0,0.0,,5,0.15,5.0,5.0,5.0,5.0,5.0,5.0,4.8,1.7320776255707762,2202,1.0,1
29984537.0,60113794,1,1,1,1,1,District 5,177,2,Entire home/apt,8,2.0,0.0,,148,2.22,4.89,4.92,4.89,4.99,4.98,4.7,4.89,1.7320776255707762,3089,2.0,1
29984918.0,37929610,0,1,1,1,1,District 30,0,1,Private room,1,0.0,0.0,,279,4.33,4.78,4.88,4.67,4.95,4.95,4.73,4.85,1.700799086757991,3319,1.0,1
29994369.0,36288781,0,2,1,1,2,District 26,339,30,Entire home/apt,2,2.0,0.0,,1,1.0,4.0,5.0,4.0,5.0,5.0,4.0,4.0,1.6940639269406392,3337,1.5,0
30010720.0,532828,1,1,1,1,1,District 24,257,1,Entire home/apt,2,0.0,1.0,112.0,375,5.53,4.87,4.95,4.76,4.95,4.94,4.96,4.87,1.7320776255707762,4855,1.0,1
30019043.0,3324376,0,33,1,1,94,District 19,331,1,Entire home/apt,4,1.0,2.0,93.0,113,1.7,4.26,4.42,4.53,4.44,4.68,3.74,4.16,1.7320776255707762,4370,1.0,1
30020214.0,3324376,0,33,1,1,94,District 19,357,1,Entire home/apt,6,2.0,3.0,120.0,152,2.27,4.29,4.49,4.39,4.45,4.64,3.87,4.28,1.7320776255707762,4370,1.0,1
30043806.0,57948375,1,1,1,1,2,District 16,269,2,Entire home/apt,10,3.0,3.0,212.0,189,2.89,4.92,4.93,4.85,4.91,4.92,4.76,4.85,1.7320776255707762,3104,2.5,1
30081683.0,2275056,0,5,1,1,8,District 17,64,2,Entire home/apt,6,2.0,0.0,,111,1.71,4.69,4.79,4.75,4.91,4.8,4.95,4.75,1.7320776255707762,4481,2.0,1
30086511.0,208269163,0,1,1,1,1,District 18,0,3,Entire home/apt,3,2.0,0.0,,186,2.79,4.88,4.92,4.83,4.97,4.97,4.92,4.72,1.7320776255707762,2192,1.0,1
30091232.0,198875923,1,1,1,1,1,District 17,345,2,Entire home/apt,12,4.0,7.0,257.0,153,2.27,4.95,4.97,4.96,4.96,5.0,4.83,4.94,1.7320776255707762,2232,3.5,1
30111210.0,60934272,1,21,1,1,35,District 19,339,2,Entire home/apt,6,1.0,5.0,173.0,237,3.54,4.73,4.74,4.57,4.93,4.95,4.79,4.67,1.7320776255707762,3083,1.0,1
30126311.0,34316903,1,10,1,1,10,District 19,165,2,Entire home/apt,6,1.0,3.0,233.0,177,2.62,4.96,4.97,4.97,4.94,4.94,4.93,4.85,1.7320776255707762,3362,1.0,1
30131268.0,26404837,1,1,1,1,1,District 15,232,2,Entire home/apt,12,4.0,5.0,316.0,111,1.66,4.96,4.96,4.93,4.99,4.99,4.95,4.88,1.7204337899543378,3488,2.5,1
30155980.0,42875616,0,1,1,1,1,District 19,126,3,Entire home/apt,6,2.0,0.0,,176,2.64,4.84,4.9,4.63,4.85,4.96,4.98,4.75,1.7320776255707762,3266,2.0,1
30157276.0,81714261,0,1,1,1,1,District 33,277,30,Entire home/apt,7,3.0,4.0,195.0,119,1.76,4.73,4.85,4.71,4.94,4.9,4.76,4.79,1.700799086757991,2957,2.5,0
30178510.0,216275686,0,1,1,1,2,District 21,112,3,Entire home/apt,12,4.0,4.0,529.0,21,0.31,4.95,4.9,4.81,5.0,4.95,4.62,4.86,1.7320776255707762,2150,3.5,1
30252586.0,10428587,1,1,1,1,1,District 6,240,1,Entire home/apt,4,1.0,1.0,124.0,479,7.1,4.99,4.99,4.94,4.95,4.99,4.97,4.93,1.7320776255707762,3900,1.0,1
