StudentID,Certification Course,Gender,Department,Weight(LBs),Height(in),11.0th GPA,12th GPA,College GPA,hobbies,"If Other, Please Specify",daily studing time,prefer to study in,salary expectation,Do you like your degree?,willingness to pursue a career based on their degree  ,social media & video,Travelling Time ,Stress Level ,Financial Status,part-time job
115,No,Male,BCA,143.3003,59.05515,4,2,3.3,Video Games,,30 - 60 minute,Anytime,25000,Yes,75%,1.30 - 2 hour,0 - 30 minutes,Bad,Bad,No
116,Yes,Prefer Not to Respond,BCA,154.3234,70.472479,3,2.7,3,Video Games,,0 - 30 minute,Night,20000,Yes,100%,30 - 60 Minute,30 - 60 minutes,Good,good,No
117,Yes,Male,BCA,143.3003,73.622087,4,2.7,2.7,Sports,,30 - 60 minute,Anytime,17000,Yes,75%,1 - 1.30 hour,2 - 2.30 hour,Bad,good,No
118,Yes,Male,BCA,176.3696,65.748067,4,3.3,3.3,Sports,,1 - 2 Hour,Anytime,18000,No,50%,1.30 - 2 hour,1 - 1.30 hour,Good,Bad,Yes
119,Yes,Male,BCA,110.231,66.92917,3.3,3.7,3.7,Cinema,,0 - 30 minute,Anytime,15000,Yes,75%,More than 2 hour,0 - 30 minutes,Bad,good,No
120,Yes,Female,B.com Accounting and Finance ,125.66334,51.968532,3.3,3.7,4,Reading books,,2 - 3 hour,Night,20000,Yes,75%,30 - 60 Minute,0 - 30 minutes,Good,good,Yes
121,Yes,Male,BCA,187.3927,66.535469,4,2.7,3,Video Games,,30 - 60 minute,Night,20000,Yes,100%,1.30 - 2 hour,30 - 60 minutes,Bad,good,No
122,Yes,Male,BCA,132.2772,59.05515,2.7,3,3.3,Sports,,30 - 60 minute,Morning,15000,Yes,75%,1 - 1.30 hour,30 - 60 minutes,Good,Bad,Yes
123,Yes,Male,BCA,165.3465,70.86618,4,2.3,3.3,Video Games,,30 - 60 minute,Anytime,20000,Yes,75%,30 - 60 Minute,30 - 60 minutes,Bad,good,No
124,Yes,Female,BCA,99.2079,60.629954,3.3,2.7,4,Cinema,,0 - 30 minute,Night,17000,Yes,100%,30 - 60 Minute,30 - 60 minutes,Good,good,No
125,Yes,Female,BCA,136.68644,54.724439,4,4,4,Cinema,,30 - 60 minute,Morning,20000,Yes,75%,1 - 1.30 hour,0 - 30 minutes,Good,good,No
126,No,Male,BCA,132.2772,68.897675,4,3,3,Sports,,0 - 30 minute,Anytime,20000,Yes,75%,1 - 30 Minute,1 - 1.30 hour,Good,Bad,No
127,Yes,Male,BCA,158.73264,67.716572,3.7,3,4,Cinema,,3 - 4 hour,Anytime,20000,Yes,100%,1 - 30 Minute,1 - 1.30 hour,Good,good,No
128,Yes,Male,BCA,121.2541,66.92917,4,4,3.7,Reading books,,30 - 60 minute,Anytime,20000,Yes,75%,30 - 60 Minute,1.30 - 2 hour,Good,Bad,No
129,No,Male,BCA,143.3003,66.92917,4,2.3,3.7,Cinema,,30 - 60 minute,Anytime,25000,Yes,50%,30 - 60 Minute,30 - 60 minutes,Good,Bad,No
130,No,Male,BCA,143.3003,72.834685,4,2,4,Sports,,2 - 3 hour,Morning,50000,Yes,75%,1 - 1.30 hour,1.30 - 2 hour,Good,Awful,No
131,Yes,Male,BCA,125.66334,69.685077,3.7,2.3,2.3,Sports,,0 - 30 minute,Morning,18000,Yes,50%,1.30 - 2 hour,0 - 30 minutes,Good,good,No
132,No,Male,BCA,189.59732,66.92917,3.7,3,3.3,Sports,,0 - 30 minute,Anytime,20000,Yes,75%,1 - 1.30 hour,0 - 30 minutes,Good,good,No
133,Yes,Male,B.com Accounting and Finance ,143.3003,68.503974,4,4,4,Cinema,,1 - 2 Hour,Anytime,5000,Yes,50%,1 - 30 Minute,30 - 60 minutes,Good,good,No
134,Yes,Non-binary,BCA,158.73264,65.748067,4,2.7,2.7,Video Games,,2 - 3 hour,Anytime,20000,Yes,50%,1 - 30 Minute,30 - 60 minutes,fabulous,good,No
135,Yes,Female,BCA,105.82176,61.023655,4,2.7,4,Sports,,30 - 60 minute,Anytime,20000,Yes,75%,1 - 30 Minute,1.30 - 2 hour,Good,good,No
136,Yes,Male,BCA,88.1848,52.755934,4,3,4,Cinema,,0 - 30 minute,Morning,20000,Yes,75%,More than 2 hour,30 - 60 minutes,Good,good,No
137,No,Male,BCA,112.43562,62.598459,4,3.3,4,Reading books,,More Than 4 hour,Morning,12500,No,75%,30 - 60 Minute,1 - 1.30 hour,Good,Bad,No
138,Yes,Female,BCA,110.231,59.05515,4,2.3,3.7,Video Games,,2 - 3 hour,Anytime,20000,Yes,75%,30 - 60 Minute,1 - 1.30 hour,Good,good,Yes
139,Yes,Female,BCA,88.1848,59.05515,4,2.7,2.7,Sports,,30 - 60 minute,Anytime,15000,Yes,75%,More than 2 hour,0 - 30 minutes,Good,good,No
140,Yes,Male,BCA,187.3927,70.86618,3.7,2.3,3,Sports,,0 - 30 minute,Morning,12000,No,0%,1 - 30 Minute,30 - 60 minutes,Good,good,No
141,Yes,Male,BCA,121.2541,47.24412,3.7,3,3,Sports,,30 - 60 minute,Morning,20000,Yes,50%,30 - 60 Minute,0 - 30 minutes,Good,good,No
142,Yes,Male,BCA,127.86796,71.653582,4,2.7,3,Sports,,1 - 2 Hour,Night,25000,Yes,50%,30 - 60 Minute,30 - 60 minutes,Bad,good,No
143,Yes,Male,BCA,147.70954,64.960665,4,3.3,2,Reading books,,30 - 60 minute,Morning,15000,No,25%,1 - 30 Minute,more than 3 hour,Good,Bad,Yes
144,Yes,Female,B.com Accounting and Finance ,83.77556,62.99216,4,4,4,Sports,,2 - 3 hour,Anytime,10000,Yes,100%,30 - 60 Minute,2 - 2.30 hour,Good,good,No
145,Yes,Male,B.com Accounting and Finance ,176.3696,66.92917,3.7,4,4,Sports,,More Than 4 hour,Anytime,100000,Yes,100%,30 - 60 Minute,1.30 - 2 hour,fabulous,Bad,No
146,No,Male,BCA,99.2079,64.960665,2,2,3,Cinema,,0 - 30 minute,Night,15000,Yes,25%,1 - 30 Minute,0 - 30 minutes,fabulous,Fabulous,Yes
147,Yes,Female,B.com Accounting and Finance ,171.96036,58.267748,3.3,3.7,3.3,Cinema,,30 - 60 minute,Anytime,5000,Yes,50%,30 - 60 Minute,1 - 1.30 hour,Good,Bad,No
148,No,Female,B.com Accounting and Finance ,77.1617,51.18113,4,3.3,1,Reading books,,More Than 4 hour,Morning,30000,No,50%,30 - 60 Minute,1 - 1.30 hour,Good,Bad,No
149,No,Female,BCA,99.2079,55.11814,4,2.7,3.3,Sports,,30 - 60 minute,Night,10000,Yes,75%,More than 2 hour,30 - 60 minutes,Bad,Bad,No
150,Yes,Male,BCA,154.3234,68.897675,4,3.3,4,Video Games,,1 - 2 Hour,Morning,20000,Yes,75%,1 - 1.30 hour,1 - 1.30 hour,Good,Bad,No
151,No,Male,BCA,167.55112,68.897675,2.7,3,3,Sports,,2 - 3 hour,Morning,30000,Yes,50%,30 - 60 Minute,1.30 - 2 hour,Good,good,No
152,No,Male,BCA,154.3234,62.99216,4,3,2.7,Sports,,30 - 60 minute,Morning,20000,Yes,50%,30 - 60 Minute,1 - 1.30 hour,Awful,good,No
153,Yes,Female,BCA,94.79866,61.023655,3.7,2.7,3.3,Cinema,,1 - 2 Hour,Night,13000,Yes,50%,1.30 - 2 hour,0 - 30 minutes,Awful,Awful,No
154,Yes,Non-binary,BCA,110.231,61.417356,2.7,1,4,Reading books,,2 - 3 hour,Night,100000,Yes,75%,30 - 60 Minute,30 - 60 minutes,Bad,Bad,No
155,Yes,Female,BCA,110.231,62.99216,4,3,4,Video Games,,2 - 3 hour,Anytime,25000,Yes,75%,30 - 60 Minute,0 - 30 minutes,Good,Bad,No
156,Yes,Male,BCA,151.898318,68.897675,3.3,3,4,Video Games,,30 - 60 minute,Morning,15000,Yes,75%,1 - 1.30 hour,2 - 2.30 hour,Good,good,No
157,Yes,Female,BCA,110.231,61.023655,4,3.3,4,Cinema,,0 - 30 minute,Anytime,50000,Yes,75%,1 - 30 Minute,30 - 60 minutes,Good,Bad,Yes
158,No,Non-binary,Commerce,121.2541,59.05515,2,2,1,Sports,,3 - 4 hour,Morning,15000,Yes,75%,More than 2 hour,1 - 1.30 hour,Good,Bad,No
159,Yes,Male,Commerce,165.3465,64.960665,3,3.7,4,Cinema,,0 - 30 minute,Anytime,15000,Yes,50%,1 - 1.30 hour,0 - 30 minutes,fabulous,good,Yes
160,No,Male,Commerce,110.231,61.417356,4,4,4,Sports,,1 - 2 Hour,Morning,15000,No,25%,1 - 1.30 hour,30 - 60 minutes,Awful,Bad,No
161,Yes,Male,Commerce,116.84486,65.748067,4,4,4,Video Games,,30 - 60 minute,Morning,40000,Yes,25%,30 - 60 Minute,2 - 2.30 hour,Bad,Bad,No
162,Yes,Male,Commerce,141.09568,64.960665,3.7,3.3,3.3,Video Games,,30 - 60 minute,Morning,15000,Yes,75%,30 - 60 Minute,2.30 - 3 hour,Good,good,Yes
163,Yes,Male,Commerce,233.68972,74.80319,4,3.7,4,Reading books,,1 - 2 Hour,Anytime,25000,Yes,100%,1 - 30 Minute,1.30 - 2 hour,Good,Bad,Yes
164,No,Male,Commerce,187.3927,75.590592,4,4,4,Cinema,,30 - 60 minute,Anytime,25000,Yes,100%,30 - 60 Minute,more than 3 hour,Good,Bad,No
165,Yes,Male,Commerce,127.86796,68.110273,4,4,4,Video Games,,1 - 2 Hour,Night,35000,Yes,50%,30 - 60 Minute,2 - 2.30 hour,Bad,good,No
166,Yes,Female,Commerce,132.2772,57.086645,4,3.7,4,Cinema,,3 - 4 hour,Anytime,18000,Yes,100%,More than 2 hour,0 - 30 minutes,Bad,good,No
